"","plant_id","transition","size_t0","size_t1","leaf_length_t0","leaf_length_t1","leaf_width_t0","leaf_width_t1","no_fl","fl_stem_height","fl_infl_height","SL","surv","years","site","pr_fl"
"1",1,1,6,4,97,7.4,11,0.9,0,NA,NA,3,1,"2018 - 2019","Halle",0
"2",2,1,4,6,97,10.8,9,1.4,0,NA,NA,3,1,"2018 - 2019","Halle",0
"3",2,1,4,6,123,10.8,13,1.4,0,NA,NA,3,1,"2018 - 2019","Halle",0
"4",3,1,3,1,96,3,7,8.2,0,NA,NA,3,1,"2018 - 2019","Halle",0
"5",4,1,5,2,71,7,4,0.4,0,NA,NA,3,1,"2018 - 2019","Halle",0
"6",5,1,5,3,67,11.2,4,0.7,0,NA,NA,3,1,"2018 - 2019","Halle",0
"7",5,1,4,3,65,11.2,4,0.7,0,NA,NA,3,1,"2018 - 2019","Halle",0
"8",6,1,5,5,81,4,6,0.3,0,NA,NA,3,1,"2018 - 2019","Halle",0
"9",6,1,NA,5,55,4,4,0.3,0,NA,NA,3,0,"2018 - 2019","Halle",0
"10",7,1,7,8,64,11.8,4,0.7,0,NA,NA,3,1,"2018 - 2019","Halle",0
"11",8,1,6,4,86,10,4,0.7,0,NA,NA,3,1,"2018 - 2019","Halle",0
"12",8,1,2,4,46,10,3,0.7,0,NA,NA,3,1,"2018 - 2019","Halle",0
"13",9,1,4,9,139,10.8,8,0.7,2,18.8,0.6,3,1,"2018 - 2019","Halle",1
"14",11,1,6,7,95,11.7,10,0.7,2,14.5,0.6,3,1,"2018 - 2019","Halle",1
"15",13,1,3,2,90,3.1,4,0.2,0,NA,NA,3,1,"2018 - 2019","Halle",0
"16",15,1,4,2,82,3.5,5,0.3,0,NA,NA,3,1,"2018 - 2019","Halle",0
"17",17,1,5,7,108,10.2,7,0.8,0,NA,NA,3,1,"2018 - 2019","Halle",0
"18",19,1,4,9,135,15.2,10,1.2,0,NA,NA,3,1,"2018 - 2019","Halle",0
"19",21,1,6,17,106,11,13,0.9,0,NA,NA,0,1,"2018 - 2019","Halle",0
"20",23,1,5,10,99,11.5,11,0.7,0,NA,NA,0,1,"2018 - 2019","Halle",0
"21",25,1,4,4,88,11.4,2,0.5,0,NA,NA,0,1,"2018 - 2019","Halle",0
"22",25,1,2,4,62,11.4,3,0.5,0,NA,NA,0,1,"2018 - 2019","Halle",0
"23",28,1,4,NA,131,NA,5,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"24",32,1,4,NA,91,NA,6,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"25",33,1,3,NA,106,NA,9,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"26",34,1,3,NA,101,NA,3,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"27",57,1,6,NA,93,NA,6,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"28",45,1,3,NA,35,NA,3,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"29",45,1,1,NA,68,NA,6,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"30",44,1,4,NA,130,NA,9,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"31",48,1,2,NA,137,NA,12,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"32",41,1,4,5,135,11,5,0.6,0,NA,NA,2,1,"2018 - 2019","Halle",0
"33",37,1,7,5,151,13,9,0.5,0,NA,NA,2,1,"2018 - 2019","Halle",0
"34",38,1,6,5,165,18.2,11,1,0,NA,NA,2,1,"2018 - 2019","Halle",0
"35",36,1,7,5,142,20.7,11,0.7,1,56,26,2,1,"2018 - 2019","Halle",1
"36",42,1,8,4,111,8.3,12,0.2,1,275,13,2,1,"2018 - 2019","Halle",1
"37",29,1,2,NA,66,NA,4,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"38",31,1,8,NA,110,NA,14,NA,1,235,10,2,0,"2018 - 2019","Halle",1
"39",46,1,5,4,128,3.7,6,0.3,1,255,8,2,1,"2018 - 2019","Halle",1
"40",43,1,5,NA,91,NA,15,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"41",47,1,4,NA,78,NA,4,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"42",66,1,4,NA,107,NA,6,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"43",69,1,9,NA,137,NA,16,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"44",69,1,5,NA,139,NA,9,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"45",86,1,4,NA,73,NA,7,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"46",71,1,5,NA,131,NA,7,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"47",83,1,4,NA,132,NA,10,NA,1,63,7,2,0,"2018 - 2019","Halle",1
"48",89,1,4,NA,163,NA,10,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"49",67,1,3,NA,126,NA,7,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"50",67,1,4,NA,157,NA,10,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"51",87,1,5,NA,85,NA,8,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
